,agr,art,cons,corp,edu,fin,good,gov,hlth,leg,man,med,org,rec,serv,tech,tran,Groups,Linkedin/bloomberg,company,url,description,query,title,url,intern_check,tableau,ppc,adobe,ms,javascript,excel,social_tools,html,wordpress,ga,sql,seo,stats,cms,email,css,leadership,passion,teamwork,communication,writing,presentation,detail,creative,pr,sales,content,analytics,social_media,digital,paid
42,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"good, man ",Retail,  Dierbergs,https://chj.tbe.taleo.net/chj05/ats/careers/v2/viewRequisition?org=DIERGERGS&cws=43&rid=2207&source=Indeed.com,"New SearchLogin PagePosition DescriptionGraphic Design InternEmployment TypeUp to 40 Hours per WeekLocation NameCorporate OfficeLocation City and StateSt. Louis, MOApply Now  Position:                               Graphic Design Intern ‰ÛÒ Summer 2017Reports to:                            Lead Graphic DesignerAre you a Difference Maker?  The Dierbergs Difference starts with you!Dierbergs Markets is currently looking to add a talented Graphic Design Intern to our creative team for the summer! Our summer intern will be responsible for design and production support of advertising materials for print, web, email, social media and in-store signage.What you need:Must be enrolled in 3rd or 4th year of accredited college/universityMust be pursing degree in Graphic Design or related fieldExperience working on a Mac and Adobe Creative SuiteA successful candidate will be:Team-orientedOrganizedDetail-orientedAbility to perform multiple tasks simultaneouslyAble to quickly adapt to changing prioritiesWhat you‰Ûªll gain:Opportunity to gain hands on experience in a corporate advertising department, supporting a strong and established St. Louis brandChance to hone in on your design skills and learn from a great team with a number of years in the industryPaid Internship ‰ÛÒ Weekly Pay!Work hours:  8am-5pm Mon ‰ÛÒ Fri (can be flexible)    BackEmail Apply Now",advertising+intern,Graphic Design Intern,https://chj.tbe.taleo.net/chj05/ats/careers/v2/viewRequisition?org=DIERGERGS&cws=43&rid=2207&source=Indeed.com,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
191,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"org, serv ",Individual & Family Services, Children's Bureau,https://childrensbureau.hirecentric.com/jobs/114323-29578.html?source=Indeed.com,"Home Jobs Digital Media Intern ‰ÛÒ Nonprofit Marketing Search Jobs Login - Development Indianapolis, IN, USA Internship Email Me This Job Are you visually creative but analytical too? Do you thrive on the fast pace of social media marketing? Do you care about the reason behind your work? If so, check out this opportunity at Children's Bureau, Inc., one of Indiana's most progressive nonprofits, working to protect children and preserve families.  We're looking for a motivated designer/wordsmith to produce content for four social media platforms (Twitter, Facebook, Instagram and LinkedIn). This intern works with the Children's Bureau's communications content strategist to educate and engage multiple audiences. ""Interning with Children's Bureau was a unique opportunity to gain hands-on experience working for a nonprofit while simultaneously giving back to my community. Collaborating in a fun, team atmosphere enhanced my knowledge of social media, event planning, corporate relations, and ultimately provided me with the skills necessary to start my career."" ‰ÛÒ Jessica Almon, 2015 Children's Bureau Intern   WHAT YOU'LL DO Plan/implement weekly social media content Create graphics for use in social media, website and more Track/report social media metrics Updates and SEO for childrensbureau.org Assist with creating/scheduling email campaigns Collaborate with other interns WHAT WE'RE LOOKING FOR  The successful candidate will: Be an excellent writer, detail oriented, efficient and willing to learn Be able to think creatively and strategically at a fast pace Have good organizational skills, integrity and great follow through Minimum of intermediate design skills with a knowledge of Adobe Creative Suite (emphasis on Photoshop/InDesign/Illustrator) Basic HTML, CSS, or experience with WordPress a plus Knowledge of video editing software a plus  THE FINE PRINT 40 hours per week Must have access to reliable transportation Language requirements: Fluent written and spoken English This is a paid internship with a stipend awarded at the end of 12 weeks.   Children's Bureau is an equal opportunity employer and will not tolerate discrimination in employment on the basis of race, color, age, sex, sexual orientation, gender identity, religion, disability, ethnicity, national origin, marital status, veteran status, or any other legally-protected status. Apply Now * Fields Are Required About You: Contact Info:       Cell*       Home       Work       Location Info:       Country* United States Canada Australia New Zealand United Kingdom Afghanistan Aland Islands Albania Algeria American Samoa Andorra Angola Anguilla Antarctica Antigua and Barbuda Argentina Armenia Aruba Asia/Pacific Region Austria Azerbaijan Bahamas Bahrain Bangladesh Barbados Belarus Belgium Belize Benin Bermuda Bhutan Bolivia Bosnia and Herzegovina Botswana Bouvet Island Brazil British Indian Ocean Territory Brunei Darussalam Bulgaria Burkina Faso Burundi Cambodia Cameroon Cape Verde Cayman Islands Central African Republic Chad Chile China Christmas Island Cocos (Keeling) Islands Colombia Comoros Congo Congo  The Democratic Republic of the Cook Islands Costa Rica Cote d'Ivoire Croatia Cuba Cyprus Czech Republic Denmark Djibouti Dominica Dominican Republic Ecuador Egypt El Salvador Equatorial Guinea Eritrea Estonia Ethiopia Europe Falkland Islands (Malvinas) Faroe Islands Fiji Finland France France  Metropolitan French Guiana French Polynesia French Southern Territories Gabon Gambia Georgia Germany Ghana Gibraltar Greece Greenland Grenada Guadeloupe Guam Guatemala Guernsey Guinea Guinea-Bissau Guyana Haiti Heard Island and McDonald Islands Holy See (Vatican City State) Honduras Hong Kong Hungary Iceland India Indonesia Iran  Islamic Republic of Iraq Ireland Isle of Man Israel Italy Jamaica Japan Jersey Jordan Kazakhstan Kenya Kiribati Korea  Democratic People's Republic of Korea  Republic of Kuwait Kyrgyzstan Lao People's Democratic Republic Latvia Lebanon Lesotho Liberia Libyan Arab Jamahiriya Liechtenstein Lithuania Luxembourg Macao Macedonia Madagascar Malawi Malaysia Maldives Mali Malta Marshall Islands Martinique Mauritania Mauritius Mayotte Mexico Micronesia  Federated States of Moldova  Republic of Monaco Mongolia Montenegro Montserrat Morocco Mozambique Myanmar Namibia Nauru Nepal Netherlands Netherlands Antilles New Caledonia Nicaragua Niger Nigeria Niue Norfolk Island Northern Ireland Northern Mariana Islands Norway Oman Other Pakistan Palau Palestinian Territory Panama Papua New Guinea Paraguay Peru Philippines Pitcairn Poland Portugal Puerto Rico Qatar Reunion Romania Russian Federation Rwanda Saint Bartelemey Saint Helena Saint Kitts and Nevis Saint Lucia Saint Martin Saint Pierre and Miquelon Saint Vincent and the Grenadines Samoa San Marino Sao Tome and Principe Saudi Arabia Senegal Serbia Serbia and Montenegro Seychelles Sierra Leone Singapore Slovakia Slovenia Solomon Islands Somalia South Africa South Georgia and the South Sandwich Islands Spain Sri Lanka Sudan Suriname Svalbard and Jan Mayen Swaziland Sweden Switzerland Syrian Arab Republic Taiwan Tajikistan Tanzania  United Republic of Thailand Timor-Leste Togo Tokelau Tonga Trinidad and Tobago Tunisia Turkey Turkmenistan Turks and Caicos Islands Tuvalu Uganda Ukraine United Arab Emirates United States Minor Outlying Islands Uruguay Uzbekistan Vanuatu Venezuela Vietnam Virgin Islands  British Virgin Islands  U.S. Wallis and Futuna Western Sahara Yemen Zambia Zimbabwe              State* Other       Apply for this Position Sign Up For Job Alerts     Select a state     Alabama     Alaska     Arizona     Arkansas     California     Colorado     Connecticut     Delaware     District of Columbia     Florida     Georgia     Hawaii     Idaho     Illinois     Indiana     Iowa     Kansas     Kentucky     Louisiana     Maine     Maryland     Massachusetts     Michigan     Minnesota     Mississippi     Missouri     Montana     Nebraska     Nevada     New Hampshire     New Jersey     New Mexico     New York     North Carolina     North Dakota     Ohio     Oklahoma     Oregon     Pennsylvania     Rhode Island     South Carolina     South Dakota     Tennessee     Texas     Utah     Vermont     Virginia     Washington     West Virginia     Wisconsin     Wyoming     Puerto Rico     Send Me Jobs Follow Us On Social Media Share This Page Applicant Tracking Software by ExactHire - å© 2017 - Local Time is 07-Mar-2017 11:19 AM Job Map",marketing+intern,Digital Media Intern,https://childrensbureau.hirecentric.com/jobs/114323-29578.html?source=Indeed.com,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1
249,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cons,Building Materials, GCP Applied Technologies Construction Products,https://gcp-openhire.silkroad.com/epostings/index.cfm?fuseaction=app.jobinfo&jobid=606&company_id=17241&version=1&source=Indeed%20Sponsored%20(Campaign),"Employment Listings EspaÌ±ol Marketing Co-Op/Intern Tracking Code 606-241 Job Description Overview ‰ÛÒ GCP Applied Technologies Construction Products is comprised of two businesses:   Specialty Construction Chemicals (SCC): A worldwide supplier of products for the construction industry with a goal of offering customers a compelling mix of products, services and technologies that are differentiated, offer sustainable value and reduce cost.   Specialty Building Materials (SBM): Our products are used to protect and enhance building structures in commercial construction markets globally. Market access is primarily through either distributors who supply contractor/applicators or directly to specialty applicators.   Corporate Headquarters is Cambridge, MA Easily accessible to public transportation On site fitness club Subsidized Cafeteria     Job Description   One Year Internship beginning June 2017 We are looking for individuals to identify, scope-out, and determine actions to support strategic growth initiatives in programs highly visible to upper management. The co-op will support directly the Global Marketing Director to:   Assesses global marketplace dynamics, barriers and opportunities; Understand product line financial, P&Ls, accounting and business operations to maximize gross and operating margins; Set marketing vision and articulate 3-year strategic plans to establish organizational objectives (Strategy Plan); Develop and articulate the annual global marketing business plans and budgets to deliver profitable growth and maximize global market opportunities (Operating plan); Improve business performance tracking tools and dashboards Establish clear and quantifiable performance indicators for marketing programs Support other projects as required for marketing and General Managers Required Skills Qualifications:   The candidate should be pursing an MBA and have completed course work in marketing and/or finance. Strong analytical, project management, organizational and communication skills required. Skills in working with Microsoft Office and other analytical tools are required. Knowledge of SAP and a technical background and/or experience in the construction industry would be a plus.   Job Location Cambridge, Massachusetts, United States Position Type Full-Time/Regular Apply   Connect Who do you know at GCP Applied Technologies Share Return To Job Listings  å© 2017 GCP Applied Technologies Inc.",marketing+intern,Marketing Intern,https://gcp-openhire.silkroad.com/epostings/index.cfm?fuseaction=app.jobinfo&jobid=606&company_id=17241&version=1&source=Indeed%20Sponsored%20(Campaign),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
90,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,man ,Automotive, Jaguar Land Rover,https://chk.tbe.taleo.net/chk06/ats/careers/requisition.jsp?org=JAGUARLANDROVER&cws=6&rid=645&sType=Indeed,"Summer Internship Opportunities Location: NJ - Mahwah Department: Jaguar Land Rover Marketing & Sales Description Jaguar Land Rover North America‰Ûªs summer internship program is a great opportunity for college students entering their junior or senior year, or who are currently in a graduate school program, to gain hands-on experience in the exciting world of the automotive industry!  This is a great opportunity for personal growth and development from a business and learning perspective.   Details of the program:         The program is open only to students at a Junior or Senior level in their Bachelor‰Ûªs Degree program, or who are enrolled in a Graduate School program.         This is a summer internship (running form June through August 2017), and the successful intern must be able and willing to commit to the full length of the program.         Intern is asked to work for 40 hours per week in the Mahwah, NJ office (Business hours are Monday through Friday 8:30 AM ‰ÛÒ 5:30 PM).     Outline of Role: We are currently have three summer openings, one in each of the following departments: Customer Relationships & Insights Finance Commercial Aftersales/Business Analytics   The successful interns will gain hands-on experience and exposure to how our business runs.  Supporting our teams on special projects and initiatives that impact customer experience, customer retention, business strategy.  Interns will perform analysis of data, and prepare reports and make recommendations.  Interns will assist with monthly national and regional reporting, and verification of data, and work with his/her respective team on how to improve processes and performance.   These internships will provide an opportunity to develop business acumen, leadership, and project management skills, as well as develop analytical and reporting skills.   Key Criteria for Role: Bachelor‰Ûªs Degree in progress (Junior or Senior), or pursuing a graduate studies degree (in Business, Marketing, Finance, or related discipline); 3.0 GPA or higher; Intermediate to advanced Excel, Word and PowerPoint skills, and previous data manipulation experience is a plus; Strong communication and presentation skills; High level of professionalism; Detail-oriented, self-starter, strong work ethic, team player,  ability to build rapport and communicate confidently; Self-starter and ability to work independently or with teams as required; Ability to leverage insights to draw sound conclusions and translate them into actionable recommendations.   Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. Jaguar Land Rover North America, LLC provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Jaguar Land Rover North America, LLC complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.     Are you a returning applicant? Previous Applicants: Email: Password:  If you do not remember your password click here.  Back to Search Results  New Search     Taleo Privacy Link",marketing+intern,Marketing Intern,https://chk.tbe.taleo.net/chk06/ats/careers/requisition.jsp?org=JAGUARLANDROVER&cws=6&rid=645&sType=Indeed,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0
149,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,man ,Chemicals, Momentive Performance Materials Inc.,https://sjobs.brassring.com/TGWebHost/jobdetails.aspx?jobId=2457882&PartnerId=25493&SiteId=5600&codes=INT-INDEED,"? Home Search openings Search results Current page Job details     Job details   Job 1 of 1 Submit to Job   Save to cart   View similar jobs   Position Title B2B Strategic Marketing Intern Auto req ID 7982BR Company Momentive Performance Materials Inc. Location US NY Waterford Country USA Function Marketing Company Overview Based in Waterford, New York, Momentive Performance Materials Inc. is a global leader in silicones, quartz and advanced materials, with a 70-year heritage of innovation and being first to market with performance applications that improve everyday life. Our solutions are found in products that touch nearly every facet of modern living and we work closely with some of the biggest brands in B2B and consumer worlds, covering a broad range of markets - from aerospace and automotive, to building and construction, personal care, and electronics. Momentive materials are found in products that touch nearly every facet of modern living. At Momentive, we believe that leadership begins with integrity, ethics and environmentally sound operations. When you work for Momentive, you are partnering with a company that is not only focused on delivering value but on doing it in a safe, ethical and environmentally responsible manner. Company Distinction This exciting opportunity is part of Momentive Performance Materials Inc. Position Overview Momentive Performance Materials is currently accepting applications for our 2017 Summer Internship Program! The 2017 Summer Internship Program is designed to expose students to the many facets of business and culture within Momentive. Interns will have the opportunity to work on project-based, real work assignments that directly align with their educational experiences. If you are seeking an internship in an innovative, challenging, and growing environment this opportunity may be for you!     This person will assist our Americas Electronics Commercial team by analyzing, evaluating, and developing strategy for our ‰ÛÏIndustrial Retail‰Û Distributors.  He or she will be expected to evaluate these distributor‰Ûªs business capability, strategy, web site, product and service portfolio, ‰ÛÏgo to‰Û marketing strategy, sales performance, and price offering.  He or she will also be expected to work with our Commercial team on a cross-functional basis to learn our history and processes with them, and later articulate a cross-functional strategy that supports all functions at the end of the assignment.  Goal of their project will be to create a ‰ÛÏworld class‰Û B2B strategy that supports all stakeholders to grow Industrial Retail Distributors 2X their current rate.   Job Responsibilities Commercial Marketing via B2B relationships Distribution Sales Product Knowledge Technical Transactional and Value Chain (position for growth) Price Management Evaluate pricing in the market vs competition Articulate future price actions in support of growth Evaluate Sales performance Evaluate Channel Partners based on ‰ÛÏcost to serve‰Û, scalability, etc Competencies Strategic Marketing ‰ÛÒ How to grow in a complex Business to Business (B2B) environment via strategic planning developed from fact-based decisions/ assessments Understanding of how Distributors support the value chain and how to position them Ability to quickly learn from leaders in our commercial, cross-functional teams ‰ÛÒ perspective(s), needs, how they align to each other Ability to analyze commercial data and present back to stakeholders Ability to evaluate growth potential via web site analysis, surveys to distributors, price offering assessments Ability to develop and communicate a strategic marketing plan that conveys a strategy, desired outcome and specific tasks to get there Minimum Qualifications Junior or Senior in an undergraduate degree program Other We are an Equal Opportunity, Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to gender, minority status, sexual orientation, gender identity, protected veteran status, status as a qualified individual with a disability or any characteristic protected by law. In order to be considered for this position candidates are required to submit an application for employment through our career site, be at least 18 years of age, willing to take a drug test and submit to a background investigation as part of the selection process. Candidates are required to have unrestricted authorization to work in the United States. If currently an employee of the Company, you must have current satisfactory work performance and in most cases, have been in your current role 18 months. Disclaimer: We are not accepting unsolicited assistance from search firms/employment agencies for this employment opportunity. Please, no phone calls or emails to any employee about this position. All resumes submitted by search firms/employment agencies to any employee of the Company via email, the Internet or in any other form and/or method without a valid written search firm agreement in place for this position will be deemed the sole property of the Company; no fee will be paid in the event a candidate is hired by the Company as a result of the unsolicited referral or through other means. Submit to Job   Save to cart   View similar jobs",marketing+intern,B2B Strategic Marketing Intern,https://sjobs.brassring.com/TGWebHost/jobdetails.aspx?jobId=2457882&PartnerId=25493&SiteId=5600&codes=INT-INDEED,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1
2150,,,,,,,,,,,,,,,,,,,,#HackYourLife,https://www.indeed.com/cmp/USASCBA/jobs/Digital-Online-Marketing-Intern-87fa746a003db346,"#HACKYOURLIFE is all about helping people build their dream life by teaching them “the basics” that they either never learned, or they forgot how to apply to keep their life moving forward in a positive way.#HACKYOURLIFE is a brand new startup company that is recruiting several individuals as interns, with the drive and the talents to do the digital marketing for our business. These talents can range anywhere from personal assistant, graphic design, copywriting, web page creation skills, to blogging, podcast creation, video production and social media message promotion.If any of the following below describes you, then you may be perfect for this internship:Your talents have not been properly recognized by your previous employers, and you’ve probably had quite a few jobs in your recent past. You are ambitious and want to make your mark in this world by making a difference in people’s lives. You know that if the right opportunity presented itself, you would gladly jump aboard to learn what you needed to make that possible.You know you need money to take care of your needs and wants, but money is a secondary motivation for you. In fact you would work a second job that paid you what you need, and work for free if you found the right opportunity. You realize that many people pay money for college and then never use that education. Given the choice, you would rather get your education through a mentor who could guide you to making the sums of money you need and want in order to live a life of meaning.Does this sound like you? Send your resume to us for our consideration immediately!For more information and to apply for this position, please click on the link below:https://monte-bateman.clickfunnels.com/squeeze-pageynw1ktc9Job Type: Internship",marketing+intern,Digital Online Marketing Intern,https://www.indeed.com/cmp/USASCBA/jobs/Digital-Online-Marketing-Intern-87fa746a003db346,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
276,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"med, rec",Broadcast Media,103.7 KISS FM Ð Morning Show,http://chk.tbe.taleo.net/chk05/ats/careers/requisition.jsp?org=ENTERCOM&cws=1&rid=2091&source=Indeed.com,"ENTERCOM.COM SKIP TO PRIMARY CONTENT SKIP TO SECONDARY CONTENT ENTERCOM HOME RADIO STATIONS MARKETING SOLUTIONS OUR PRESS ROOM ENTERCOM HOME ABOUT US CAREERS INVESTORS CONTACT ADVERTISE Search FIND A STATION 103.7 KISS FM ‰ÛÒ Morning Show Social Media / Producer Intern Location: Milwaukee, WI Department: Internships Description   YOU ‰ÛÒ the college student who needs intern credits ‰ÛÒ we help with that by having you work with Riggs & Alley! You will assist the morning show with the following ‰ÛÒ Updating Social Media sites as needed / responding to comments, etc Screening phone calls Answering text messages Website Blog posting Help in the brainstorming process of morning radio goodness. We‰Ûªre looking for SELF STARTERS‰Û_if you just want to sit around being told what to do all the time, this is not for you.  You will be rewarded with a wealth of experience and a plethora of knowledge you will not gain in a classroom.  You‰Ûªll also get a free McDonalds‰ã¢ coffee that Riggs will bring you in the morning.  If you‰Ûªre nice.  You‰Ûªll know if you aren‰Ûªt nice if you don‰Ûªt get the coffee.  But you‰Ûªll probably get the coffee.  Contact: riggs@1037kissfm.com Internships are non-paid positions.    Entercom is an Equal Opportunity Employer.    Are you a returning applicant? Previous Applicants: Email: Password:  If you do not remember your password click here.  Back to Search Results  New Search     smart radio. compelling content. engaged audiences. successful clients. ENTERCOM HOME RADIO STATIONS MARKETING SOLUTIONS OUR PRESS ROOM ABOUT US CAREERS INVESTORS CONTACT ADVERTISE Music Submission Policy Privacy Policy Standard Advertising Terms & Conditions å© 2012 Entercom Communications Corp. All rights reserved.",marketing+intern,Social Media / Producer Intern,http://chk.tbe.taleo.net/chk05/ats/careers/requisition.jsp?org=ENTERCOM&cws=1&rid=2091&source=Indeed.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
587,,,,,,,,,,,,,,,,,,,,"451 Marketing, LLC","https://www.indeed.com/cmp/451-Marketing,-LLC/jobs/Social-Media-Content-Coordinator-1fb33b784b8329c7?sjdu=QwrRXKrqZ3CNX5W-O9jEveyKMGbi7h6SG6Um4sc6REpi0UJTFjRRbD_21jv-NNdCqoQVLNp17bcoIhMTwhgTtm5SQKRF5PykxsQcLdoGhXA","Narrative Description:The Social Media Content Coordinator works with the Social Media Account Manager, Strategy Manager and Strategists to develop social programs and content for 451 Marketing’s clients. The role requires the ability to manage multiple, concurrent projects and initiatives while maintaining a positive attitude and energy.The Social Media Content Coordinator will serve as a full-time community manager for 2-4 brands, including monitoring all social properties, creating unique and engaging content, designing social media imagery, and assisting in building social media promotions and other initiatives. The Social Media Content Coordinator must have strong creative and professional writing skills and will work with the team to brainstorm and create social initiatives to grow the assigned communities.Responsibilities:Act as a community manager for 451 Marketing clients’ social media platformsCreate daily content for multiple social media platforms across different industry verticalsBuild social media creative imagery for daily contentMeasure and optimize content based on analyticsAssist in developing social media program initiatives to improve community size and engagementCommunicate with team on a daily basis to maintain awareness of updates and offeringsFind and implement new social strategies, tools and tactics as they developBecome fully immersed in the clients’ brand and cultureDelegate responsibilities to social media interns as neededCandidate Objectives & Job Specifications/Qualifications:Bachelor’s Degree (marketing or related field preferred)Experience in a marketing role or internship preferredOutstanding written and verbal communication skillsExperience with Photoshop and other graphic design programsExceptional sense of creativityStrong familiarity with the business applications of social media platforms, including; Facebook, Twitter, YouTube, Pinterest, Google+, Instagram and moreAbility to ask questions and learn new skills quickly on the job; be a self-starterExcellent organizational skills with the ability to handle and prioritize multiple projectsMotivation to take responsibility and ensure successful outcomes across activities; be a driven team playerProficiency with Microsoft Office (Word, PowerPoint, Outlook, Excel)Basic html and video production skills a plus*External and internal applicants, as well as position incumbents who become disabled as defined under the Americans with Disabilities Act must be able to perform the essential job functions (as listed) either unaided or with the assistance of a reasonable accommodation to be determined by management on a case by case basis.451 Marketing is committed to the principle of equal employment opportunity. Applicants for employment and employees are reviewed on their individual qualifications for a position. Under no circumstances will 451 Marketing discriminate against qualified persons on the basis of race, color, religious creed, retaliation, national origin, ancestry, sexual orientation, gender, gender identity/expression, disability, mental illness, genetics, choice of health insurance, marital status, age, veteran status, or any other basis prohibited under applicable lawJob Type: Full-timeJob Location:Boston, MARequired education:Bachelor'sRequired experience:Social Media: 1 yearSocial Media Marketing: 1 yearMarketing: 1 year",digital+marketing+intern,Social Media Content Coordinator,"https://www.indeed.com/cmp/451-Marketing,-LLC/jobs/Social-Media-Content-Coordinator-1fb33b784b8329c7?sjdu=QwrRXKrqZ3CNX5W-O9jEveyKMGbi7h6SG6Um4sc6REpi0UJTFjRRbD_21jv-NNdCqoQVLNp17bcoIhMTwhgTtm5SQKRF5PykxsQcLdoGhXA",1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0
2169,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"corp, med ",Marketing and Advertising,A2 Advertising,https://www.indeed.com/cmp/A2-Advertising/jobs/Content-Marketing-Intern-137f7f877ee737ec,"We are looking for an enthusiastic Content Marketing Intern to provide creative ideas and support to our digital marketing team. A2 Advertising is an agency focused on the grocery store market with an office in Kansas City (West Bottoms). You will have duties in development and administration of content marketing, including social media and video production.As our Content Marketing Intern, you will collaborate with our digital marketing team in all stages of marketing campaigns. Your insightful contribution will help develop, expand and maintain our channels and platforms.This internship will help you acquire and expand your content marketing skills and provide you with knowledge of various digital strategies. Ultimately, you will gain broad experience in an agency environment and will become prepared to enter any fast-paced workplace.ResponsibilitiesSchedule social media posts on Facebook, Twitter and InstagramWork with social media coordinators to create and curate engaging content for grocery store customersCreate short food and recipe videos for use on social media pages for grocers nationwideAssist in preparing promotional presentationsPerform research and analysis activitiesSupport the digital marketing team in daily administrative tasksRequirementsJunior or Senior currently enrolled in program for Broadcast, Multimedia Communications, Public Relations, Journalism or related fieldStrong desire to learn along with professional driveSolid understanding of storytelling in marketing and/or journalismSkills in video editing using Premiere Pro or similar softwareWorking knowledge of social media platforms (Facebook, Twitter, Instagram)Competent in Microsoft OfficePassion for the marketing industry and its best practicesThis is a paid part-time role. We are seeking an intern with 15-20 hours of availability during office hours (8:30am-5:30pm) weekly, beginning in May 2017. Ideally, we are seeking an intern who wishes to continue through the school year.Please send your resume, cover letter, and portfolio link (optional). Please, no phone calls.Job Type: Internship",marketing+intern,Content Marketing Intern (Paid),https://www.indeed.com/cmp/A2-Advertising/jobs/Content-Marketing-Intern-137f7f877ee737ec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1
19,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"hlth, rec ","Health, Wellness and Fitness",ABH Pharma Inc.,https://www.indeed.com/cmp/ABH-Pharma-Inc./jobs/Digital-Marketing-Intern-313117ba0a3ffaaa?sjdu=QwrRXKrqZ3CNX5W-O9jEvWXCypobYDKFSmxltmp36B0cyYEsZLcVh7zWNKXNhUSQN921kgl-JsTVfZ3P5rXQde8bM60NjIcFZmHqVtrcLBw,"ABH Pharma is a startup nutraceutical vitamin manufacturing facility located in Brentwood Suffolk County. We partnered with 20+ year old ABH Natures Products manufacturing facility to provide best-in-industry customer support, sales, and marketing. Since our first year here we have tripled sales and are rapidly expanding.Currently we are seeking a full-time digital marketing manager to assist the CMO in daily marketing tasks.We want to start off with a Paid Full-Time Internship for 1 Month, leading into a full-time position.Job duties:Devising strategies to drive online traffic to the company website.Tracking conversion rates and making improvements to the website.Developing and managing digital marketing campaignsUtilising a range of techniques including paid search, SEO and PPC.Overseeing the social media strategy for the company.Managing online brand and product campaigns to raise brand awareness.Managing the redesign of the company website.Improving the usability, design, content and conversion of the company websiteResponsibility for planning and budgetary control of all digital marketingEvaluating customer research, market conditions and competitor data.Review new technologies and keep the company at the forefront of developments in digital marketing.Requirements of the roleBachelor degree in Marketing.Qualified member of the CIM or equivalent.Experience managing PPC, SEO and Affiliate programmes.Strong understanding of current online marketing concepts, strategy and best practice.Experience in ecommerce, SEO, PPC, Email marketing, and social media.Previous experience in a similar digital marketing role.Job Type: Full-timeSalary: $36,000.00 /yearRequired education:Bachelor'sRequired experience:Marketing: 1 year",marketing+intern,Digital Marketing Intern,https://www.indeed.com/cmp/ABH-Pharma-Inc./jobs/Digital-Marketing-Intern-313117ba0a3ffaaa?sjdu=QwrRXKrqZ3CNX5W-O9jEvWXCypobYDKFSmxltmp36B0cyYEsZLcVh7zWNKXNhUSQN921kgl-JsTVfZ3P5rXQde8bM60NjIcFZmHqVtrcLBw,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
